ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.Historia22Test	historia22test	1590522786541	 	3.3.1
REQUEST	168		Home	1590522800540	1590522800542	OK	 
REQUEST	175		Home	1590522800540	1590522800542	OK	 
USER	DiagnosisNotCreatedScn	176	START	1590522800681	1590522800681
USER	DiagnosisCreatedScn	169	START	1590522800681	1590522800681
REQUEST	176		Home	1590522800682	1590522800690	OK	 
REQUEST	169		Home	1590522800683	1590522800690	OK	 
REQUEST	76		Login	1590522800702	1590522800704	OK	 
REQUEST	82		Login	1590522800702	1590522800704	OK	 
USER	DiagnosisCreatedScn	177	START	1590522800831	1590522800831
USER	DiagnosisNotCreatedScn	184	START	1590522800831	1590522800831
REQUEST	177		Home	1590522800833	1590522800836	OK	 
REQUEST	184		Home	1590522800832	1590522800836	OK	 
